Time,Setpoint,Measured,Control,P_Term,I_Term,D_Term,Anti_Windup
2.82,5,0.921457,0.977973,0.611939,0.36537,0.000664339,0
2.83,5,0.926033,0.977324,0.611781,0.366593,-0.00105047,0
2.84,5,0.929117,0.974335,0.611095,0.367816,-0.00457579,0
2.85,5,0.921127,0.976585,0.610632,0.369037,-0.00308395,0
2.86,5,0.920094,0.990082,0.611831,0.37026,0.00799047,0
2.87,5,0.926159,0.984503,0.611986,0.371484,0.00103291,0
2.88,5,0.92729,0.977717,0.611076,0.372707,-0.00606567,0
2.89,5,0.928769,0.983705,0.610907,0.373928,-0.00113037,0
2.9,5,0.93375,0.984355,0.610685,0.37515,-0.00147924,0
2.91,5,0.941998,0.981326,0.609938,0.37637,-0.00498071,0
2.92,5,0.937344,0.978039,0.6087,0.377587,-0.00824806,0
2.93,5,0.930778,0.992858,0.609398,0.378806,0.00465402,0
2.94,5,0.932737,0.996975,0.610383,0.380027,0.00656543,0
2.95,5,0.933592,0.989377,0.610089,0.381247,-0.00195891,0
2.96,5,0.925815,0.991573,0.609961,0.382467,-0.000854787,0
2.97,5,0.933091,1.00259,0.611128,0.383689,0.00777702,0
2.98,5,0.930817,0.98767,0.610036,0.384909,-0.00727557,0
2.99,5,0.928325,0.99878,0.610377,0.38613,0.00227314,0
3,5,0.930527,1.00059,0.610751,0.387351,0.00249239,0
3.01,5,0.933584,0.996791,0.610421,0.388572,-0.00220212,0
3.02,5,0.937326,0.996697,0.609962,0.389792,-0.00305701,0
3.03,5,0.943892,0.996671,0.609401,0.391011,-0.00374142,0
3.04,5,0.946138,0.994077,0.608416,0.392228,-0.00656661,0
3.05,5,0.952132,0.999277,0.608079,0.393444,-0.00224573,0
3.06,5,0.948812,0.995844,0.60718,0.394658,-0.005994,0
3.07,5,0.95625,1.00687,0.607678,0.395874,0.00331989,0
3.08,5,0.956676,0.996212,0.606563,0.397087,-0.00743753,0
3.09,5,0.965954,1.00437,0.606499,0.3983,-0.000426494,0
3.1,5,0.964859,0.995339,0.605107,0.39951,-0.00927783,0
3.11,5,0.965613,1.00709,0.605271,0.40072,0.00109508,0
3.12,5,0.965324,1.00633,0.605158,0.401931,-0.000754397,0
3.13,5,0.96561,1.00863,0.605201,0.403141,0.000289557,0
3.14,5,0.956931,1.00922,0.605158,0.404351,-0.000286813,0
3.15,5,0.955115,1.0207,0.60646,0.405564,0.0086793,0
3.16,5,0.957288,1.01533,0.606733,0.406778,0.00181576,0
3.17,5,0.95668,1.01222,0.606407,0.407991,-0.00217277,0
3.18,5,0.969687,1.01631,0.606498,0.409204,0.000608166,0
3.19,5,0.968195,1.00195,0.604547,0.410413,-0.0130071,0
3.2,5,0.969924,1.01788,0.604771,0.411622,0.00149163,0
3.21,5,0.971462,1.01561,0.604511,0.412831,-0.00172864,0
3.22,5,0.972381,1.01678,0.604281,0.41404,-0.0015379,0
3.23,5,0.980536,1.01847,0.604143,0.415248,-0.000919075,0
3.24,5,0.985702,1.01122,0.60292,0.416454,-0.00815459,0
3.25,5,0.992186,1.01464,0.602145,0.417658,-0.00516626,0
3.26,5,0.997625,1.01355,0.601172,0.418861,-0.00648391,0
3.27,5,1.00119,1.01498,0.600356,0.420061,-0.00543967,0
3.28,5,1.00847,1.01752,0.599821,0.421261,-0.00356604,0
3.29,5,1.00746,1.01391,0.59873,0.422458,-0.00727455,0
3.3,5,1.00624,1.02354,0.59888,0.423656,0.00100152,0
3.31,5,1.00729,1.02515,0.599065,0.424854,0.00122809,0
3.32,5,1.0133,1.0239,0.598906,0.426052,-0.00105482,0
3.33,5,1.00527,1.01925,0.598005,0.427248,-0.00600819,0
3.34,5,1.01074,1.03569,0.599209,0.428447,0.00802918,0
3.35,5,1.00922,1.02256,0.598389,0.429643,-0.00547048,0
3.36,5,1.01171,1.03098,0.598618,0.430841,0.00152441,0
3.37,5,1.01457,1.02779,0.598243,0.432037,-0.00249421,0
