Time,Setpoint,Measured,Control,P_Term,I_Term,D_Term,Anti_Windup
11.5,5,4.74342,4.70616,0.615793,4.10907,-0.0187019,0
11.55,5,4.73879,4.75708,0.626915,4.11534,0.0148302,0
11.6,5,4.73491,4.77033,0.636222,4.1217,0.0124095,0
11.65,5,4.74336,4.71674,0.615931,4.12786,-0.0270556,0
11.7,5,4.75102,4.70689,0.597556,4.13384,-0.0245001,0
11.75,5,4.75093,4.73784,0.597758,4.13981,0.000269331,0
11.8,5,4.73979,4.80625,0.624514,4.14606,0.0356756,0
11.85,5,4.74902,4.7249,0.602357,4.15208,-0.0295429,0
11.9,5,4.74874,4.76202,0.603021,4.15811,0.000885016,0
11.95,5,4.75585,4.72716,0.585952,4.16397,-0.0227592,0
12,5,4.7533,4.77017,0.59209,4.16989,0.0081851,0
12.05,5,4.754,4.76392,0.590392,4.1758,-0.00226419,0
12.1,5,4.75635,4.75891,0.584768,4.18164,-0.00749863,0
12.15,5,4.75207,4.79629,0.595022,4.18759,0.0136716,0
12.2,5,4.75898,4.74975,0.578459,4.19338,-0.0220835,0
12.25,5,4.75905,4.77719,0.578273,4.19916,-0.000248143,0
12.3,5,4.75321,4.81608,0.592295,4.20508,0.0186962,0
12.35,5,4.76376,4.744,0.566987,4.21075,-0.0337444,0
12.4,5,4.76179,4.79447,0.571707,4.21647,0.00629264,0
12.45,5,4.77054,4.7447,0.550715,4.22198,-0.0279889,0
12.5,5,4.76601,4.80366,0.561581,4.22759,0.0144882,0
12.55,5,4.76623,4.79356,0.561055,4.23321,-0.000701997,0
12.6,5,4.75837,4.84404,0.579905,4.239,0.0251336,0
12.65,5,4.76453,4.79008,0.565126,4.24466,-0.0197051,0
12.7,5,4.76845,4.79339,0.555719,4.25021,-0.0125428,0
12.75,5,4.76885,4.80922,0.554749,4.25576,-0.00129353,0
12.8,5,4.76692,4.82696,0.559401,4.26135,0.00620309,0
12.85,5,4.76687,4.82663,0.559521,4.26695,0.00015964,0
12.9,5,4.77008,4.81399,0.551808,4.27247,-0.0102835,0
12.95,5,4.77667,4.79276,0.536002,4.27783,-0.0210743,0
13,5,4.78808,4.75501,0.508613,4.28291,-0.0365187,0
13.05,5,4.78365,4.82149,0.519231,4.28811,0.0141566,0
13.1,5,4.78096,4.8277,0.525705,4.29336,0.00863267,0
13.15,5,4.77756,4.84343,0.533857,4.2987,0.0108686,0
13.2,5,4.79238,4.75454,0.498287,4.30368,-0.0474267,0
13.25,5,4.78888,4.82663,0.506684,4.30875,0.0111959,0
13.3,5,4.78808,4.82499,0.508598,4.31384,0.00255179,0
13.35,5,4.7861,4.83867,0.513354,4.31897,0.00634142,0
13.4,5,4.79639,4.7796,0.488663,4.32386,-0.0329212,0
13.45,5,4.79507,4.82485,0.491839,4.32878,0.00423464,0
13.5,5,4.80239,4.78435,0.474266,4.33352,-0.02343,0
13.55,5,4.8017,4.81641,0.475924,4.33828,0.00220989,0
13.6,5,4.80781,4.7846,0.461261,4.34289,-0.0195501,0
13.65,5,4.80283,4.83675,0.473202,4.34762,0.0159209,0
13.7,5,4.8022,4.82914,0.474731,4.35237,0.00203905,0
13.75,5,4.81336,4.76909,0.447948,4.35685,-0.0357108,0
13.8,5,4.8057,4.85234,0.466325,4.36151,0.0245034,0
13.85,5,4.80798,4.81965,0.460841,4.36612,-0.00731283,0
13.9,5,4.81481,4.79318,0.444459,4.37057,-0.0218419,0
13.95,5,4.80554,4.8716,0.466705,4.37523,0.0296609,0
14,5,4.816,4.78775,0.44159,4.37965,-0.033487,0
14.05,5,4.81377,4.8382,0.446945,4.38412,0.0071404,0
14.1,5,4.80716,4.87271,0.462812,4.38875,0.0211561,0
14.15,5,4.81344,4.82086,0.447738,4.39322,-0.0200993,0
14.2,5,4.80955,4.86733,0.45708,4.39779,0.0124565,0
14.25,5,4.82022,4.79942,0.431466,4.40211,-0.0341529,0
14.3,5,4.81853,4.84739,0.435519,4.40646,0.00540436,0
14.35,5,4.82625,4.80296,0.417006,4.41063,-0.0246838,0
14.4,5,4.82261,4.85229,0.425745,4.41489,0.0116518,0
14.45,5,4.82863,4.81099,0.411277,4.419,-0.01929,0
14.5,5,4.83352,4.80689,0.399542,4.423,-0.0156476,0
14.55,5,4.83707,4.80658,0.391023,4.42691,-0.0113578,0
14.6,5,4.83496,4.83374,0.396101,4.43087,0.00677079,0
14.65,5,4.83582,4.8261,0.394037,4.43481,-0.00275254,0
14.7,5,4.83034,4.86357,0.407173,4.43888,0.0175141,0
14.75,5,4.83845,4.80454,0.387718,4.44276,-0.025939,0
14.8,5,4.8339,4.85997,0.398649,4.44675,0.0145746,0
14.85,5,4.8311,4.86513,0.405371,4.4508,0.00896169,0
14.9,5,4.83643,4.83021,0.392563,4.45473,-0.0170764,0
14.95,5,4.84064,4.82752,0.382453,4.45855,-0.0134804,0
15,5,4.84747,4.80642,0.366062,4.46221,-0.0218542,0
15.05,5,4.84616,4.83934,0.369224,4.4659,0.00421579,0
15.1,5,4.85989,4.76157,0.336259,4.46927,-0.0439529,0
15.15,5,4.85233,4.85139,0.354396,4.47281,0.0241826,0
15.2,5,4.86083,4.78296,0.334004,4.47615,-0.0271901,0
15.25,5,4.85414,4.8511,0.350054,4.47965,0.0213998,0
15.3,5,4.8544,4.83178,0.349444,4.48314,-0.000812903,0
15.35,5,4.84372,4.89616,0.375082,4.4869,0.0341843,0
15.4,5,4.85267,4.81538,0.353596,4.49043,-0.0286485,0
15.45,5,4.84156,4.91005,0.380261,4.49423,0.0355541,0
15.5,5,4.84809,4.84158,0.364592,4.49788,-0.0208932,0
15.55,5,4.84028,4.91002,0.383325,4.50171,0.0249782,0
15.6,5,4.85328,4.81574,0.352117,4.50523,-0.0416105,0
15.65,5,4.84354,4.91568,0.375507,4.50899,0.0311861,0
15.7,5,4.84061,4.9047,0.382528,4.51282,0.00936134,0
15.75,5,4.85092,4.84123,0.357801,4.51639,-0.032969,0
15.8,5,4.85282,4.86708,0.353239,4.51993,-0.00608278,0
15.85,5,4.85177,4.88258,0.355749,4.52348,0.00334656,0
15.9,5,4.8423,4.93603,0.378468,4.52727,0.0302922,0
15.95,5,4.85318,4.84834,0.352359,4.53079,-0.0348121,0
16,5,4.85508,4.87601,0.347808,4.53427,-0.0060676,0
16.05,5,4.86164,4.84869,0.332076,4.53759,-0.0209771,0
16.1,5,4.85602,4.90456,0.345551,4.54105,0.017967,0
16.15,5,4.86456,4.84203,0.325056,4.5443,-0.0273268,0
16.2,5,4.86093,4.89299,0.333757,4.54763,0.0116014,0
16.25,5,4.87444,4.80876,0.301339,4.55065,-0.0432242,0
16.3,5,4.86586,4.90329,0.321948,4.55387,0.0274786,0
16.35,5,4.86868,4.86312,0.315159,4.55702,-0.00905208,0
16.4,5,4.86732,4.88299,0.318429,4.5602,0.00436118,0
16.45,5,4.86449,4.89773,0.325219,4.56345,0.00905244,0
16.5,5,4.8671,4.87725,0.318958,4.56664,-0.00834816,0
16.55,5,4.86922,4.87685,0.313861,4.56978,-0.00679519,0
16.6,5,4.86672,4.90085,0.319863,4.57298,0.00800179,0
16.65,5,4.86781,4.88995,0.317261,4.57615,-0.00346881,0
16.7,5,4.87541,4.85386,0.299027,4.57914,-0.0243125,0
16.75,5,4.87669,4.87397,0.295956,4.5821,-0.00409451,0
16.8,5,4.87245,4.90484,0.306122,4.58517,0.0135548,0
16.85,5,4.87981,4.85298,0.288466,4.58805,-0.0235405,0
16.9,5,4.88422,4.85457,0.27787,4.59083,-0.014129,0
16.95,5,4.88041,4.89293,0.287026,4.5937,0.0122086,0
17,5,4.88925,4.83388,0.265809,4.59636,-0.0282896,0
17.05,5,4.88325,4.89854,0.280199,4.59916,0.0191863,0
17.1,5,4.88663,4.86316,0.272089,4.60188,-0.0108123,0
17.15,5,4.87751,4.92795,0.293965,4.60482,0.0291672,0
17.2,5,4.87444,4.91901,0.301344,4.60783,0.0098383,0
17.25,5,4.88176,4.87103,0.283779,4.61067,-0.0234193,0
17.3,5,4.88159,4.89823,0.284181,4.61351,0.000536079,0
17.35,5,4.8847,4.88307,0.27673,4.61628,-0.00993516,0
17.4,5,4.8853,4.89237,0.275275,4.61903,-0.00193919,0
17.45,5,4.87964,4.92888,0.288854,4.62192,0.0181044,0
17.5,5,4.88959,4.85773,0.264985,4.62457,-0.0318252,0
17.55,5,4.88907,4.89514,0.266236,4.62723,0.00166816,0
17.6,5,4.88587,4.9141,0.273903,4.62997,0.0102229,0
17.65,5,4.8819,4.92898,0.283447,4.63281,0.0127251,0
17.7,5,4.87794,4.94134,0.292943,4.63574,0.0126613,0
17.75,5,4.88473,4.89341,0.276642,4.6385,-0.0217351,0
17.8,5,4.87689,4.96203,0.295467,4.64146,0.0251007,0
17.85,5,4.88135,4.9148,0.284764,4.6443,-0.0142705,0
17.9,5,4.88226,4.9268,0.282582,4.64713,-0.00290905,0
17.95,5,4.89698,4.84974,0.247248,4.6496,-0.0471123,0
18,5,4.89529,4.90884,0.251307,4.65212,0.00541201,0
18.05,5,4.89841,4.88836,0.243805,4.65455,-0.0100036,0
18.1,5,4.89589,4.91501,0.249871,4.65705,0.00808829,0
18.15,5,4.89881,4.89298,0.242852,4.65948,-0.00935826,0
18.2,5,4.89623,4.91931,0.249058,4.66197,0.00827514,0
18.25,5,4.89712,4.90848,0.246908,4.66444,-0.00286689,0
18.3,5,4.89339,4.93478,0.255853,4.667,0.011926,0
18.35,5,4.89598,4.91089,0.249657,4.6695,-0.00826128,0
18.4,5,4.89482,4.92814,0.252425,4.67202,0.00369082,0
18.45,5,4.90736,4.85647,0.22234,4.67424,-0.0401127,0
18.5,5,4.89599,4.96274,0.249622,4.67674,0.036376,0
18.55,5,4.90469,4.87994,0.228746,4.67903,-0.0278358,0
18.6,5,4.90269,4.92131,0.233548,4.68136,0.0064032,0
18.65,5,4.89947,4.93537,0.241283,4.68378,0.0103136,0
18.7,5,4.9009,4.9194,0.237841,4.68615,-0.00459026,0
18.75,5,4.90417,4.90797,0.229987,4.68845,-0.0104716,0
18.8,5,4.91253,4.87372,0.20992,4.69055,-0.0267564,0
18.85,5,4.89815,4.98344,0.244429,4.693,0.0460122,0
18.9,5,4.91135,4.86568,0.212766,4.69513,-0.0422164,0
18.95,5,4.90461,4.94793,0.228943,4.69741,0.0215687,0
19,5,4.91209,4.88654,0.210974,4.69952,-0.0239589,0
19.05,5,4.91481,4.89734,0.204459,4.70157,-0.00868628,0
19.1,5,4.91312,4.91756,0.208507,4.70365,0.0053967,0
19.15,5,4.91547,4.90104,0.20287,4.70568,-0.00751545,0
19.2,5,4.90603,4.9637,0.225537,4.70794,0.0302224,0
19.25,5,4.91287,4.89723,0.209105,4.71003,-0.0219087,0
19.3,5,4.904,4.97115,0.23041,4.71233,0.0284056,0
19.35,5,4.91017,4.91031,0.215588,4.71449,-0.0197626,0
19.4,5,4.91874,4.88406,0.195031,4.71644,-0.0274086,0
19.45,5,4.91062,4.95905,0.214503,4.71858,0.025963,0
19.5,5,4.91723,4.89807,0.198645,4.72057,-0.0211448,0
19.55,5,4.91171,4.95227,0.211902,4.72269,0.0176764,0
19.6,5,4.91627,4.91106,0.200955,4.7247,-0.0145966,0
19.65,5,4.91183,4.95264,0.211611,4.72682,0.0142085,0
19.7,5,4.91421,4.92717,0.205902,4.72887,-0.0076118,0
19.75,5,4.90905,4.96586,0.218287,4.73106,0.0165126,0
19.8,5,4.91025,4.94477,0.215401,4.73321,-0.00384687,0
19.85,5,4.903,4.99154,0.232802,4.73554,0.0232003,0
19.9,5,4.91342,4.91205,0.207787,4.73762,-0.0333531,0
19.95,5,4.91295,4.95016,0.20893,4.73971,0.00152451,0
20,5,4.9166,4.93017,0.200158,4.74171,-0.0116961,0
20.05,5,4.91246,4.96718,0.210106,4.74381,0.0132636,0
